,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3,47.152419686317444,0.2928521908826292,0.5135560035705566,0.01118965009139439,1,200,"{'min_samples_leaf': 1, 'n_estimators': 200}",0.9905739949373389,0.9906493202476329,0.9895829715932769,0.9910080646328194,0.990453587852767,0.0005287310770422096,1
2,35.12567549943924,0.40507836137348524,0.41892194747924805,0.006090879727283432,1,150,"{'min_samples_leaf': 1, 'n_estimators': 150}",0.9903725700420394,0.9900867337820674,0.9884029212680003,0.9906654244513127,0.989881912385855,0.0008780664301932779,2
1,23.127285361289978,0.1182533505424431,0.2940768003463745,0.006546239785016955,1,100,"{'min_samples_leaf': 1, 'n_estimators': 100}",0.9902837672912159,0.9903469618776504,0.9869451450143538,0.9907306823575033,0.9895766391351808,0.001528888846806634,3
0,11.702964663505554,0.12780932766976896,0.1894989013671875,0.004100747991808739,1,50,"{'min_samples_leaf': 1, 'n_estimators': 50}",0.9898057878413662,0.988727991766396,0.9870035298594712,0.98980347024471,0.9888351949279859,0.0011452180069263334,4
7,43.474842727184296,0.21258945937914997,0.48118579387664795,0.002418501223217252,5,200,"{'min_samples_leaf': 5, 'n_estimators': 200}",0.9863650520120063,0.9865951262917783,0.9867994903806083,0.9870908900831135,0.9867126396918766,0.0002670407248924309,5
6,33.470976769924164,0.5678980222059086,0.4202392101287842,0.051025735856254036,5,150,"{'min_samples_leaf': 5, 'n_estimators': 150}",0.9854695006861866,0.9868778202522597,0.9869758748321527,0.9872057787250543,0.9866322436239132,0.0006817814787635944,6
5,21.94311112165451,0.08370800803837539,0.2787473797798157,0.006731699462335749,5,100,"{'min_samples_leaf': 5, 'n_estimators': 100}",0.9854251897412747,0.9863803179214489,0.9866832813874611,0.9865373192746678,0.9862565270812131,0.0004917848713381853,7
4,11.120521247386932,0.1045351447972221,0.18126249313354492,0.002040205476626458,5,50,"{'min_samples_leaf': 5, 'n_estimators': 50}",0.985031238311858,0.9853854217032618,0.9865314952597583,0.9857434626336993,0.9856729044771443,0.0005559987406457058,8
11,41.7961648106575,0.31943008240708637,0.4775686264038086,0.02784859135870331,10,200,"{'min_samples_leaf': 10, 'n_estimators': 200}",0.9801511925612594,0.9804741812086902,0.9823812154176506,0.98214357028754,0.981287539868785,0.000985108090172349,9
10,31.36979305744171,0.26651631303805046,0.3741653561592102,0.011068025689986764,10,150,"{'min_samples_leaf': 10, 'n_estimators': 150}",0.9805247790421168,0.9807808773160626,0.9818034080254202,0.9814053311802565,0.981128598890964,0.0005043453259911438,10
9,20.848024606704712,0.06032455887589221,0.27718472480773926,0.010798507944770242,10,100,"{'min_samples_leaf': 10, 'n_estimators': 100}",0.9794277485626977,0.9811697012513505,0.982084009787239,0.9816213804289947,0.9810757100075704,0.0010048676445422416,11
8,10.504887819290161,0.06874594432110594,0.17153650522232056,0.002158272729729731,10,50,"{'min_samples_leaf': 10, 'n_estimators': 50}",0.9778554153762234,0.980059330849063,0.9802411431564569,0.9800153450131963,0.979542808598735,0.0009778871279399438,12
15,38.79094707965851,0.37728443682290463,0.4355960488319397,0.010636111308982659,20,200,"{'min_samples_leaf': 20, 'n_estimators': 200}",0.970456753602932,0.9704209325904043,0.9727057541267307,0.9720384160705191,0.9714054640976466,0.0009950799278491361,13
14,29.272900760173798,0.13561499216246195,0.3552778959274292,0.01630346209855071,20,150,"{'min_samples_leaf': 20, 'n_estimators': 150}",0.9698570547003242,0.970242922692266,0.97206397300551,0.9721437728619715,0.971076930815018,0.0010363483394804822,14
13,19.342735648155212,0.044537303107784455,0.2616414427757263,0.009791887751755863,20,100,"{'min_samples_leaf': 20, 'n_estimators': 100}",0.9687513609790223,0.9703315390523606,0.9723383528383572,0.9711489334456175,0.9706425465788394,0.0013043672012845332,15
12,9.783752143383026,0.012912142317892616,0.16801083087921143,0.0025671020905257643,20,50,"{'min_samples_leaf': 20, 'n_estimators': 50}",0.9685569173183088,0.9697784956090532,0.9717158705491504,0.9720918812508682,0.9705357911818452,0.00144078467929886,16
